ticker,news_sentiment_7d,news_sentiment_30d,news_sentiment_trend,news_volume_7d,news_volume_ratio,news_positive_pct,news_negative_pct,filing_count_30d,filing_sentiment,has_8k_recent,filing_risk_sentiment,mgmt_outlook,fda_event_recent,fda_sentiment,clinical_trial_active,regulatory_risk,days_to_earnings,earnings_surprise_last,guidance_sentiment,event_risk_score,sentiment_confidence,composite_sentiment
AES,0.14119950278351703,0.14552519228309393,-0.004325689499576901,3,1.284,20.0,10.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,33.03987911438144,0,0.2767600994432966,0.8,0.09897964464580312
AFL,-0.016597373923286796,-0.016597373923286796,0.0,10,4.28,10.0,20.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,-7.338003812716522,0,0.30168052521534267,0.8,-0.016816086592225162
AIG,-0.03561147823929787,-0.03561147823929787,0.0,10,4.28,10.0,30.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,3.0597167961047615,0,0.2978777043521404,0.8,-0.007874442189597111
AIZ,0.49939952459600234,0.5429164246656001,-0.04351690006959774,9,3.852,60.0,10.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,1.941615256716618,0,0.14512009508079954,0.8,0.17770225649367574
AJG,0.3354931510053575,0.3354931510053575,0.0,10,4.28,50.0,10.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,1.3995696909017243,0,0.1779013697989285,0.8,0.1195219573882277
AKAM,0.17387884472393328,0.23429260654374956,-0.06041376181981628,9,3.852,50.0,20.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,5.1164278695642285,0,0.21022423105521337,0.8,0.068532237457723
ALB,-0.20933116860687734,-0.20933116860687734,0.0,10,4.28,10.0,50.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,-8.597655929841826,0,0.3231337662786245,0.8,-0.0861623929071698
ALGN,0.43989755120128393,0.161288196220994,0.27860935498028994,6,2.568,40.0,30.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,10.809855004125893,0,0.2170204897597432,0.8,0.1701789254266382
ALL,0.29403802249580624,0.29403802249580624,0.0,10,4.28,40.0,10.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,45.087407305267554,0,0.36619239550083876,0.8,0.1705444188314335
ALLE,-0.14288586787879468,-0.14288586787879468,0.0,10,4.28,30.0,50.0,3,-0.002158248797059059,1,0.0,-0.0010791243985295296,0,0,0,0.3,90,-5.086318720141738,0,0.39642282642424104,0.8,-0.05828700647690846
ALNY,0.3943555399775505,0.3943555399775505,0.0,10,4.28,60.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-16.49520348448815,0,0.1661288920044899,0.8,0.11328163376541045
AMAT,-0.3714621415361762,-0.3714621415361762,0.0,10,4.28,20.0,60.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,7.887579329102445,0,0.1707075716927648,0.8,-0.11818038054400798
AMCR,0.31403768006712196,0.43281789431348444,-0.11878021424636248,5,2.14,60.0,20.0,0,0.0010635875165462493,0,0.0,0.0005317937582731247,0,0,0,0.3,90,2.465120158225207,0,0.18219246398657563,0.8,0.11392994451579436
AMD,0.2430953119881451,0.2430953119881451,0.0,10,4.28,60.0,30.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,15.982018996793446,0,0.19638093760237096,0.8,0.10905638769104095
AME,0.10452406201511621,0.10452406201511621,0.0,10,4.28,20.0,10.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,3.3961254745419063,0,0.22409518759697677,0.8,0.04167760991710353
AMGN,0.02262480529025197,0.02262480529025197,0.0,10,4.28,20.0,20.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,11.938008773062082,0,0.3004750389419496,0.8,0.025825695011181312
AMP,-0.038250225875526664,-0.038250225875526664,0.0,10,4.28,40.0,40.0,1,0.0010635875165462493,1,0.0,0.0005317937582731247,0,0,0,0.3,90,10.250776455290667,0,0.2973499548248947,0.3,0.0023076618814655437
AMT,0.37466271352022884,0.37466271352022884,0.0,10,4.28,60.0,20.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,17.036433950742932,0,0.29006745729595423,0.8,0.15668660065819448
AMZN,-0.015204121669133505,-0.015204121669133505,0.0,9,4.28,20.0,20.0,3,0.0017726458609104156,1,0.0,0.0,0,0,0,0.3,90,-0.49091150325062827,0,0.4219591756661733,0.3,-0.005526016080799544
ANET,0.5337646272964776,0.5337646272964776,0.0,10,4.28,80.0,20.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,8.173711149807385,0,0.1382470745407045,0.8,0.1990781862784782
AON,-0.07425296492874622,0.16916030775755644,-0.24341327268630267,2,0.856,50.0,40.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,2.1633349482863853,0,0.23014940701425074,0.8,-0.0227435353026316
AOS,-0.2119660291022488,-0.34952575750648973,0.13755972840424094,7,2.996,10.0,50.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,6.945517200404017,0,0.26260679417955024,0.8,-0.06376983438518104
APA,0.2682547074343477,0.24658172270283102,0.021672984731516687,7,2.996,40.0,20.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,41.73130237049498,0,0.25134905851313044,0.8,0.15648610115776418
APD,0.4145183224696666,0.4145183224696666,0.0,10,4.28,50.0,10.0,0,0.0021271750330924986,0,0.0,0.0010635875165462493,0,0,0,0.3,90,3.9340347784330367,0,0.16209633550606667,0.8,0.15162061754196057
